zh_raw,zh_cn,zh_tw,pinyin,jyutping,en,freq
下,下,下,xià,haa,under,54021
太,太,太,tài,tâai,too,53888
离开,离开,離開,líkāi,lèihōi,go away,53576
一切,一切,一切,yīqiè,jātcâi,all,53550
时间,时间,時間,shíjiān,sìgâan,time,53544
相信,相信,相信,xiāngxìn,sōengsêon,believe,53265
妈妈,妈妈,媽媽,māma,māamāa,mom,52775
想要,想要,想要,xiǎngyào,sóengjîu,want,52767
爱,爱,愛,ài,ôi,love,52273
发生,发生,發生,fāshēng,fâatsāng,occur,52014
打,打,打,dǎ,dáa,hit,51894
点,点,點,diǎn,dím,point,51607
來,来,來,lái,lòi,come,51606
钱,钱,錢,qián,cín,money,51381
大,大,大,dà,daai,big,51218
起来,起来,起來,qǐlai,héilòi,stand up,51203
真是,真是,真是,zhēnshi,zānsi,really,50761
你好,你好,你好,nǐhǎo,něihóu,hello there,50640
抱歉,抱歉,抱歉,bàoqiàn,pǒuhîp,sorry,50333
必须,必须,必須,bìxū,bītsēoi,have to,50284
认为,认为,認為,rènwéi,jingwài,think,50036
一点,一点,一點,yīdiǎn,jātdím,a little,49989
非常,非常,非常,fēicháng,fēisòeng,very much,49809
那里,那里,那裡,nàli,nǎalěoi,there,48875
对不起,对不起,對不起,duìbuqǐ,dêoibāthéi,i am sorry,48834
天,天,天,tiān,tīn,day,48822
也许,也许,也許,yěxǔ,jǎahéoi,maybe,48806
大家,大家,大家,dàjiā,daaigāa,everyone,48356
哪里,哪里,哪裡,nǎlǐ,nǎalěoi,where,48077
有人,有人,有人,yǒurén,jǎujàn,someone,48030
该,该,該,gāi,gōi,that,47800
意思,意思,意思,yìsi,jîsī,meaning,47296
杀,杀,殺,shā,sâat,kill,45836
准备,准备,準備,zhǔnbèi,zéonbei,ready,45490
并,并,並,bìng,bing,and,45252
出来,出来,出來,chūlái,cēotlòi,come out,45071
与,与,與,yǔ,jyǔ,versus,43845
时,时,時,shí,sì,time,43426
不过,不过,不過,bùguò,bātgwô,but,43421
一些,一些,一些,yīxiē,jātsē,some,43319
为了,为了,為了,wèile,wailǐu,in order to,42835
带,带,帶,dài,dáai,band,42790
女人,女人,女人,nǚrén,něoijàn,woman,42510
这儿,这儿,這兒,zhèr,zějì,here,41851
后,后,後,hòu,hau,rear,41251
只有,只有,只有,zhǐyǒu,zíjǎu,only,41172
过来,过来,過來,guòlái,gwôlòi,come,41005
比,比,比,bǐ,béi,ratio,40956
一次,一次,一次,yīcì,jātcî,once,40766
得到,得到,得到,dédào,dākdôu,get,39988
很多,很多,很多,hěnduō,hándō,a lot of,39668
任何,任何,任何,rènhé,jamhò,any,39594
这种,这种,這種,zhèzhǒng,zézúng,this kind,39590
小,小,小,xiǎo,síu,small,39473
怎么样,怎么样,怎麼樣,zěnmeyàng,zámmōjoeng,how,39364
對,对,對,duì,dêoi,correct,38384
感觉,感觉,感覺,gǎnjué,gámgôk,feel,38329
年,年,年,nián,nìn,year,38181
是不是,是不是,是不是,shìbùshì,sibātsi,Is it?,37975
以为,以为,以為,yǐwéi,jǐwài,think,37929
而且,而且,而且,érqiě,jìcé,and,37779
前,前,前,qián,cìn,before,37674
生活,生活,生活,shēnghuó,sāngwut,life,37632
男人,男人,男人,nánrén,nàamjàn,the man,37624
之前,之前,之前,zhīqián,zīcìn,prior to,37558
喂,喂,餵,wèi,wâi,hey,37491
问,问,問,wèn,man,ask,37160
发现,发现,發現,fāxiàn,fâatjin,find,37040
噢,噢,噢,ō,ôu,oh,36705
可是,可是,可是,kěshì,hósi,but,36669
快点,快点,快點,kuàidiǎn,fâaidím,faster,36485
嗨,嗨,嗨,hāi,hāai,hi,36184
妈,妈,媽,mā,māa,mom,36011
两个,两个,兩個,liǎnggè,lǒenggô,two,35966
不用,不用,不用,bùyòng,bātjung,no need to,35781
地,地,地,dì,dei,ground,35498
向,向,向,xiàng,hôeng,to,35398
名字,名字,名字,míngzì,mìngzi,first name,35374
没错,没错,沒錯,méicuò,mutcô,yes,35015
见,见,見,jiàn,gîn,see,34008
世界,世界,世界,shìjiè,sâigâai,world,33790
沒,没,沒,méi,mut,no,33365
记得,记得,記得,jìde,gêidāk,remember,33268
住,住,住,zhù,zyu,live,33258
新,新,新,xīn,sān,new,33132
不错,不错,不錯,bùcuò,bātcô,pretty good,33113
肯定,肯定,肯定,kěndìng,hángding,sure,33061
最好,最好,最好,zuìhǎo,zêoihóu,the best,33033
不行,不行,不行,bùxíng,bāthàng,not work,32963
等等,等等,等等,děngděng,dángdáng,and so on,32945
嘛,嘛,嘛,ma,mâa,well,32723
出去,出去,出去,chūqù,cēothêoi,out,32723
么,么,麼,me,mō,what,32274
先,先,先,xiān,sīn,first,32196
為,为,為,wéi,wài,for,32036
亲爱,亲爱,親愛,qīnài,cānôi,dear,31933
或,或,或,huò,waak,or,31727
他們,他们,他們,tāmen,tāamùn,they,31420
担心,担心,擔心,dānxīn,dāamsām,worry,31339
如何,如何,如何,rúhé,jyùhò,how is it,31320
到底,到底,到底,dàodǐ,dôudái,in the end,31107
有点,有点,有點,yǒudiǎn,jǎudím,a little,30851
最后,最后,最後,zuìhòu,zêoihau,at last,30725
小姐,小姐,小姐,xiǎojie,síuzé,young lady,30706
上帝,上帝,上帝,shàngdì,soengdâi,god,30372
认识,认识,認識,rènshi,jingsīk,understanding,30285
會,会,會,huì,wúi,meeting,30165
正在,正在,正在,zhèngzài,zîngzoi,is,30153
那样,那样,那樣,nàyàng,nǎajoeng,that kind,29969
父亲,父亲,父親,fùqīn,fucān,father,29719
高兴,高兴,高興,gāoxìng,gōuhîng,happy,29700
明天,明天,明天,míngtiān,mìngtīn,tomorrow,29587
重要,重要,重要,zhòngyào,zungjîu,important,29507
跑,跑,跑,pǎo,páau,run,29295
警察,警察,警察,jǐngchá,gíngcâat,policemen,29120
只要,只要,只要,zhǐyào,zíjîu,as long as,29107
干什么,干什么,幹什麼,gànshénme,gônsammō,what,29067
好像,好像,好像,hǎoxiàng,hóuzoeng,like,29033
再见,再见,再見,zàijiàn,zôigîn,goodbye,28825
月,月,月,yuè,jyut,month,28795
我能,我能,我能,wǒnéng,ngǒnàng,i can,28783
继续,继续,繼續,jìxù,gâizuk,carry on,28740
出,出,出,chū,cēot,out,28686
今晚,今晚,今晚,jīnwǎn,gāmmǎan,tonight,28650
他妈的,他妈的,他媽的,tāmāde,tāamāadīk,fuck,28590
回家,回家,回家,huíjiā,wùigāa,come back home,28350
它们,它们,它們,tāmen,tāamùn,they,28308
多少,多少,多少,duōshǎo,dōsíu,how many,28247
电话,电话,電話,diànhuà,dinwáa,phone,28178
听到,听到,聽到,tīngdào,tēngdôu,hear,27995
干嘛,干嘛,幹嘛,gànmá,gônmâa,why,27736
干,干,幹,gān,gōn,dry,27619
医生,医生,醫生,yīshēng,jīsāng,doctors,27452
要是,要是,要是,yàoshi,jîusi,if,27266
女孩,女孩,女孩,nǚhái,něoihàai,girl,27105
這,这,這,zhè,zé,this,27018
所,所,所,suǒ,só,the,27006
讓,让,讓,ràng,joeng,yield,26978
马上,马上,馬上,mǎshàng,mǎasoeng,immediately,26720
过去,过去,過去,guòqu,gwôhêoi,past,26646
以前,以前,以前,yǐqián,jǐcìn,before,26399
儿子,儿子,兒子,érzi,jìzí,son,26024
哪儿,哪儿,哪兒,nǎr,nǎajì,where,25634
说话,说话,說話,shuōhuà,syûtwaa,speak,25586
买,买,買,mǎi,mǎai,buy,25518
看起来,看起来,看起來,kànqǐlai,hônhéilòi,looks,25511
一個,一个,一個,yīgè,jātgô,one,25462
完全,完全,完全,wánquán,jyùncyùn,complete,25423
该死,该死,該死,gāisǐ,gōiséi,damn,25331
美国,美国,美國,měiguó,měigwôk,united states,25172
怎样,怎样,怎樣,zěnyàng,zámjoeng,how,25165
回去,回去,回去,huíqu,wùihêoi,go back,25126
以,以,以,yǐ,jǐ,with,24974
却,却,卻,què,kôek,but,24940
其他,其他,其他,qítā,kèitāa,other,24825
永远,永远,永遠,yǒngyuǎn,wǐngjyǔn,forever and always,24688
家伙,家伙,傢伙,jiāhuo,gāafó,guy,24679
之后,之后,之後,zhīhòu,zīhau,after that,24566
怎麼,怎么,怎麼,zěnme,zámmō,how,24413
看见,看见,看見,kànjiàn,hôngîn,see,24365
或者,或者,或者,huòzhě,waakzé,or,24021
小心,小心,小心,xiǎoxīn,síusām,heads up,23400
行,行,行,xíng,hàng,row,23301
别人,别人,別人,biéren,bitjàn,other people,23278
成为,成为,成為,chéngwéi,sìngwài,become,23248
写,写,寫,xiě,sé,write,23064
不到,不到,不到,bùdào,bātdôu,less than,22964
情况,情况,情況,qíngkuàng,cìngfông,happening,22913
送,送,送,sòng,sûng,give away,22802
伙计,伙计,伙計,huǒji,fógêi,man,22702
一天,一天,一天,yītiān,jāttīn,one day,22615
玩,玩,玩,wán,wun,play,22502
见到,见到,見到,jiàndào,gîndôu,to see,22417
放,放,放,fàng,fông,put,22359
晚上,晚上,晚上,wǎnshàng,mǎansoeng,at night,22343
喝,喝,喝,hē,hôt,drink,22343
总是,总是,總是,zǒngshì,zúngsi,always,22325
好好,好好,好好,hǎohǎo,hóuhóu,good,22178
琌,琌,琌,琌,琌,ling,22168
号,号,號,hào,hou,number,22150
如此,如此,如此,rúcǐ,jyùcí,in this way,22150
家,家,家,jiā,gāa,family,22081
坐,坐,坐,zuò,zo,sit,22044
了解,了解,了解,liǎojiě,lǐugáai,to understanding,21944
有没有,有没有,有沒有,yǒuméiyǒu,jǎumutjǎu,do you have,21883
兄弟,兄弟,兄弟,xiōngdì,hīngdai,brothers,21871
没什么,没什么,沒什麼,méishénme,mutsammō,it's nothing,21850
我来,我来,我來,wǒlái,ngǒlài,i come,21764
结束,结束,結束,jiéshù,gîtcūk,the end,21743
机会,机会,機會,jīhuì,gēiwui,opportunity,21719
已,已,已,yǐ,jǐ,already,21707
安全,安全,安全,ānquán,ōncyùn,safety,21662
拜托,拜托,拜託,bàituō,bâaitôk,please,21530
决定,决定,決定,juédìng,kyûtding,decide,21480
穿,穿,穿,chuān,cyūn,wear,21460
确定,确定,確定,quèdìng,kôkding,determine,21435
里面,里面,裡面,lǐmiàn,lěoimin,inside,21222
呃,呃,呃,è,āk,uh,21202
怎么办,怎么办,怎麼辦,zěnmebàn,zámmōbaan,how to do,21189
还好,还好,還好,háihǎo,wàanhóu,"fortunately,",21062
无法,无法,無法,wúfǎ,mòufâat,unable,21037
小时,小时,小時,xiǎoshí,síusì,hour,21036
站,站,站,zhàn,zaam,station,21015
清楚,清楚,清楚,qīngchu,cīngcó,clear,21001
有些,有些,有些,yǒuxiē,jǎusē,some,20997
错,错,錯,cuò,cô,wrong,20914
這個,这个,這個,zhège,zégô,this one,20849
帮助,帮助,幫助,bāngzhù,bōngzo,help,20849
长官,长官,長官,zhǎngguān,zóenggūn,chief,20785
公司,公司,公司,gōngsī,gūngsī,the company,20745
打电话,打电话,打電話,dǎdiànhuà,dáadinwáa,phone,20621
房子,房子,房子,fángzi,fòngzí,house,20426
根本,根本,根本,gēnběn,gānbún,fundamental,20419
懂,懂,懂,dǒng,dúng,understand,20399
办法,办法,辦法,bànfǎ,baanfâat,method,20396
不管,不管,不管,bùguǎn,bātgún,regardless of,20313
混蛋,混蛋,混蛋,húndàn,wandáan,asshole,20306
关于,关于,關於,guānyú,gwāanjyū,on,20217
搞,搞,搞,gǎo,gáau,do,20122
计划,计划,計劃,jìhuà,gâiwaak,plan,19959
唯一,唯一,唯一,wéiyī,wàijāt,only,19772
来说,来说,來說,láishuō,lòisyût,speaking,19688
女儿,女儿,女兒,nǚér,něoijì,daughter,19614
看着,看着,看著,kànzhe,hônzoek,watching,19249
宝贝,宝贝,寶貝,bǎobèi,bóubûi,baby,19208
每个,每个,每個,měige,mǔigô,each,19176
怎么回事,怎么回事,怎麼回事,zěnmehuíshì,zámmōwùisi,what happened,19113
個,个,個,ge,gô,more,19106
其实,其实,其實,qíshí,kèisat,in fact,19073
漂亮,漂亮,漂亮,piàoliang,pîuloeng,pretty,19069
黑体,黑体,黑體,hēitǐ,hāktái,blackbody,19019
這樣,这样,這樣,zhèyàng,zéjoeng,such,18925
车,车,車,chē,cē,car,18851
人们,人们,人們,rénmen,jànmùn,people,18560
真正,真正,真正,zhēnzhèng,zānzîng,real,18550
甚至,甚至,甚至,shènzhì,samzî,even,18542
那边,那边,那邊,nàbian,nǎabīn,there,18527
弄,弄,弄,lòng,lung,do,18497
开,开,開,kāi,hōi,open,18483
不好,不好,不好,bùhǎo,bāthóu,not good,18386
喔,喔,喔,wo,喔,oh,18228
回,回,回,huí,wùi,return,18149
进来,进来,進來,jìnlái,zêonlòi,come in,18144
裏,里,裏,lǐ,lěi,in,17945
夫人,夫人,夫人,fūren,fūjàn,lady,17915
之,之,之,zhī,zī,it,17902
中国,中国,中國,Zhōngguó,Zūnggwók,China,17900
中国人,中国人,中國人,Zhōngguójàn,Zūnggwókjàn,Chinese (person or people),17899
中文,中文,中文,Zhōngwén,Zūngmǎn, Chinese (language),17898
